"Month","New Homes Sold in the United States"
"2002-09",82
"2002-10",77
"2002-11",73
"2002-12",70
"2003-01",76
"2003-02",82
"2003-03",98
"2003-04",91
"2003-05",101
"2003-06",107
"2003-07",99
"2003-08",105
"2003-09",90
"2003-10",88
"2003-11",76
"2003-12",75
"2004-01",89
"2004-02",102
"2004-03",123
"2004-04",109
"2004-05",115
"2004-06",105
"2004-07",96
"2004-08",102
"2004-09",94
"2004-10",101
"2004-11",84
"2004-12",83
"2005-01",92
"2005-02",109
"2005-03",127
"2005-04",116
"2005-05",120
"2005-06",115
"2005-07",117
"2005-08",110
"2005-09",99
"2005-10",105
"2005-11",86
"2005-12",87
"2006-01",89
"2006-02",88
"2006-03",108
"2006-04",100
"2006-05",102
"2006-06",98
"2006-07",83
"2006-08",88
"2006-09",80
"2006-10",74
"2006-11",71
"2006-12",71
"2007-01",66
"2007-02",68
"2007-03",80
"2007-04",83
"2007-05",79
"2007-06",73
"2007-07",68
"2007-08",60
"2007-09",53
"2007-10",57
"2007-11",45
"2007-12",44
"2008-01",44
"2008-02",48
"2008-03",49
"2008-04",49
"2008-05",49
"2008-06",45
"2008-07",43
"2008-08",38
"2008-09",35
"2008-10",32
"2008-11",27
"2008-12",26
"2009-01",24
"2009-02",29
"2009-03",31
"2009-04",32
"2009-05",34
"2009-06",37
"2009-07",38
"2009-08",36
"2009-09",30
"2009-10",33
"2009-11",26
"2009-12",24
"2010-01",24
"2010-02",27
"2010-03",36
"2010-04",41
"2010-05",26
"2010-06",28
"2010-07",26
"2010-08",23
"2010-09",25
"2010-10",23
"2010-11",20
"2010-12",23
"2011-01",21
"2011-02",22
"2011-03",28
"2011-04",30
"2011-05",28
"2011-06",28
"2011-07",27
"2011-08",25
"2011-09",24
"2011-10",25
"2011-11",23
"2011-12",24
"2012-01",23
"2012-02",30
"2012-03",34
"2012-04",34
"2012-05",35
"2012-06",34
"2012-07",33
"2012-08",31
"2012-09",30
"2012-10",29
"2012-11",28
"2012-12",28
"2013-01",32
"2013-02",36
"2013-03",41
"2013-04",43
"2013-05",40
"2013-06",43
"2013-07",33
"2013-08",31
"2013-09",31
"2013-10",38
"2013-11",33

New Homes Sold in the United States

